出演回,初回放送,放送内容,種類,ユニット回,マンスリーMC,ゲスト,欠席,公式配信URL,後半,備考
356,2025/10/21(火) 23:00,帰ってきたハロウィン回,,コメティック,川口莉奈,小澤麗那,小澤麗那,https://asobichannel.asobistore.jp/watch/gzp2di8pr9x,,マンスリーMC：川口莉奈、ゲスト：小澤麗那 #斑鳩ルカのHBTK
357,2025/10/29(水) 18:00,螺旋振り返り生配信,生配信,,,峯田茉優・希水しお・涼本あきほ、川口莉奈,,https://asobichannel.asobistore.jp/watch/r4dxv6fje0o,,生配信 / 出演：峯田茉優、希水しお、涼本あきほ、川口莉奈
358,2025/11/04(火) 23:00,シャニマスの「静」担当,,,涼本あきほ,,,https://asobichannel.asobistore.jp/watch/5n6qnmb8nkab,,マンスリーMC：涼本あきほ #有栖川夏葉のHBTK
359,2025/11/11(火) 23:00,小糸ちゃん嬉しいねぇ！\\（ウレシイ！）//,,,涼本あきほ,田嶌紗蘭・紫月杏朱彩,,https://asobichannel.asobistore.jp/watch/ls2v0mihka,,マンスリーMC：涼本あきほ、ゲスト：田嶌紗蘭・紫月杏朱彩 #有栖川夏葉のHBTK
360,2025/11/18(火) 23:00,私は架空の女子高に通ってるんですけど,,,涼本あきほ,関根瞳・岡咲美保,,https://asobichannel.asobistore.jp/watch/6o3r0z75rz0,,マンスリーMC：涼本あきほ、ゲスト： 関根瞳・岡咲美保 #有栖川夏葉のHBTK
361,2025/11/25(火) 23:00,武士が足りないな⋯⋯,,放課後クライマックスガールズ,涼本あきほ,河野ひより・永井真里子・丸岡和佳奈,白石晴香・涼本あきほ,https://asobichannel.asobistore.jp/watch/23oeu1zznwyx,,出演：河野ひより、永井真里子、丸岡和佳奈 #有栖川夏葉のHBTK / ※涼本あきほは体調不良でお休み
362,2025/12/02(火) 23:00,霧子のコミュの読みがわかるのは、シャニラジだけ！,,,結名美月,,,https://asobichannel.asobistore.jp/watch/isezf9ttzg,,マンスリーMC：結名美月 #幽谷霧子のHBTK
363,2025/12/09(火) 23:00,そのちょっとのボイスで脳が…...うっ...…,,,結名美月,近藤玲奈・三川華月,,https://asobichannel.asobistore.jp/watch/7ng0ltgr8,,マンスリーMC：結名美月、ゲスト：近藤玲奈・三川華月 #幽谷霧子のHBTK
364,2025/12/16(火) 23:00,変拍子から逃れられない,,Fumage,結名美月,和久井優,,https://asobichannel.asobistore.jp/watch/lrsftpl8l7a,,マンスリーMC：結名美月、ゲスト：和久井優 #幽谷霧子のHBTK
365,2025/12/23(火) 23:00,もうちょっと摩美々やってよ,,アンティーカ,結名美月,菅沼千沙,礒部花凜・八巻アンナ・希水しお,https://asobichannel.asobistore.jp/watch/khejhwilb4,,マンスリーMC：結名美月、ゲスト：菅沼千紗 #幽谷霧子のHBTK / ※次回は1/6
366,2026/01/06(火) 23:00,2026年もシャニラジから！,,,峯田茉優,,,https://asobichannel.asobistore.jp/watch/s2leazi9nf4,,マンスリーMC：峯田茉優 #八宮めぐるのHBTK
367,2026/01/13(火) 23:00,実現したの。合法的に,,イルミネーションスターズ,峯田茉優,関根瞳・近藤玲奈,,https://asobichannel.asobistore.jp/watch/dcgqgos6h5,,マンスリーMC：峯田茉優、ゲスト：関根瞳・近藤玲奈 #八宮めぐるのHBTK
368,2026/01/20(火) 23:00,持ち上げられて、全カットです,,Sonic Heart (and Signal),峯田茉優,河野ひより・岡咲美保,礒部花凜,https://asobichannel.asobistore.jp/watch/x8dsy3qk06y,,マンスリーMC：峯田茉優、ゲスト：河野ひより・岡咲美保 #八宮めぐるのHBTK
369,2026/01/29(木) 20:00,大解剖 楽曲コメンタリー生配信！（騎士団振り返り生配信）,生配信,,,菅沼千沙・八巻アンナ・真崎エリカ,,https://asobichannel.asobistore.jp/watch/rx3u582mabq,,生配信 / 出演：菅沼千紗、八巻アンナ、真崎エリカ
370,2026/02/03(火) 23:00,学マスちゃんをエスコート,,,土屋李央,,,https://asobichannel.asobistore.jp/watch/avsm2kty8wlf,,マンスリーMC：土屋李央 #樋口円香のHBTK
371,2026/02/10(火) 23:00,お賽銭も個性もバラバラ！,,ノクチル,土屋李央,和久井優・田嶌紗蘭,,https://asobichannel.asobistore.jp/watch/uko4wzdsyte,,マンスリーMC：土屋李央、ゲスト：和久井優・田嶌紗蘭 #樋口円香のHBTK
372,2026/02/19(木) 20:00,大感謝祭振り返り生配信,生配信,,土屋李央,関根瞳・八巻アンナ・芝崎典子・田嶌紗蘭,,https://asobichannel.asobistore.jp/watch/jo5umu2vol,,生配信 / 出演：関根瞳、八巻アンナ、芝崎典子、田嶌紗蘭
373,2026/02/24(火) 23:00,レコーディングで〇〇〇になりました,,Σ Desire,土屋李央,永井真里子・田中有紀,田中有紀・山根綺・川口莉奈,https://asobichannel.asobistore.jp/watch/1utjy7bfqjv,,マンスリーMC：土屋李央、ゲスト：永井真里子・田中有紀 #樋口円香のHBTK
374,2026/03/03(火) 23:00,イマジナリーコメティック!?,,,小澤麗那,,,https://asobichannel.asobistore.jp/watch/dsh0sbqwrd7y,,マンスリーMC：小澤麗那 #郁田はるきのHBTK
375,2026/03/10(火) 23:00,台本に修羅場って書かれてる！,,,小澤麗那,黒木ほの香・幸村恵理,,https://asobichannel.asobistore.jp/watch/a04cx2ey1go,,マンスリーMC：小澤麗那、ゲスト：黒木ほの香・幸村恵理 #郁田はるきのHBTK
376,2026/03/17(火) 23:00,目が合わせらせない…！,,ザ・ふたりトラベラー,小澤麗那,関根瞳,,https://asobichannel.asobistore.jp/watch/a4ehswkay05w,,マンスリーMC：小澤麗那、ゲスト：関根瞳 #郁田はるきのHBTK
377,2026/03/24(火) 23:00,ギャハハ！ラーメンラーメン！（本人）,,コメティック,小澤麗那,川口莉奈・三川華月,,https://asobichannel.asobistore.jp/watch/tmzlhg9028u,,マンスリーMC：小澤麗那、ゲスト：川口莉奈・三川華月 #郁田はるきのHBTK / ※次回は4/7
378,2026/04/07(火) 23:00,新ユニットはバロック!?ヒガン龍!?,,,芝崎典子,,,https://asobichannel.asobistore.jp/watch/w89mr8cjwkh,,マンスリーMC：芝崎典子 #桑山千雪のHBTK
379,2026/04/14(火) 23:00,合体ッ！木崎前りのほ！,,アルストロメリア,芝崎典子,黒木ほの香・前川涼子,,https://asobichannel.asobistore.jp/watch/895uf69ug,,マンスリーMC：芝崎典子、ゲスト：黒木ほの香・前川涼子 #桑山千雪のHBTK
380,2026/04/21(火) 23:00,そんなのできないよぉよぉよぉ～,,彼岸流,芝崎典子,涼本あきほ・近藤玲奈,八巻アンナ・北原沙弥香,https://asobichannel.asobistore.jp/watch/4g6r6io79cx,,マンスリーMC：芝崎典子、ゲスト：涼本あきほ・近藤玲奈 #桑山千雪のHBTK
381,2026/05/01(金) 19:00,∞th振り返り生配信,生配信,,,峯田茉優・菅沼千沙・芝崎典子・和久井優,,https://asobichannel.asobistore.jp/watch/luyaq3i31v,,生配信 / 出演：峯田茉優、菅沼千紗、芝崎典子、和久井優
382,2026/05/05(火) 23:00,何が言いたかったんだっけ。あの⋯ ⋯ありがとうございます,,,希水しお,,,https://asobichannel.asobistore.jp/watch/90rpfcoy5fm4,,マンスリーMC：希水しお #三峰結華のHBTK
383,2026/05/12(火) 23:00,ほとんどまっさらな状態,,,希水しお,紫月杏朱彩,,https://asobichannel.asobistore.jp/watch/hwnchp33os7q,,マンスリーMC：希水しお、ゲスト：紫月杏朱彩 #三峰結華のHBTK
384,2026/05/19(火) 23:00,椅子と一緒に出てきたいな,,アンティーカ,希水しお,礒部花凜・結名美月,菅沼千沙・八巻アンナ,https://asobichannel.asobistore.jp/watch/n9z0d22su,,マンスリーMC：希水しお、ゲスト：礒部花凜・結名美月 #三峰結華のHBTK
385,2026/05/26(火) 23:00,うる⋯⋯こだわりある方だから,,No 1 feel alone,希水しお,黒木ほの香・田嶌紗蘭,丸岡和佳奈,https://asobichannel.asobistore.jp/watch/7lzj24n1w,,マンスリーMC：希水しお、ゲスト：黒木ほの香・田嶌紗蘭 #三峰結華のHBTK
386,2026/06/02(火) 23:00,えー、ご職業は？,,,丸岡和佳奈,,,https://asobichannel.asobistore.jp/watch/mezqqsmvz62,,マンスリーMC：丸岡和佳奈 #杜野凛世のHBTK
387,2026/06/09(火) 23:00,手で×を作ってるのなんで？,,,丸岡和佳奈,前川涼子・和久井優,,https://asobichannel.asobistore.jp/watch/txn0qhshaxcz,,マンスリーMC：丸岡和佳奈、ゲスト：前川涼子・和久井優 #杜野凛世のHBTK
388,2026/06/16(火) 23:00,かわるか、また,,,丸岡和佳奈,岡咲美保,,https://asobichannel.asobistore.jp/watch/f3xbnzp90t,,マンスリーMC：丸岡和佳奈、ゲスト：岡咲美保 #杜野凛世のHBTK
389,2026/06/23(火) 23:00,高音を担当していただいて,,,丸岡和佳奈,近藤玲奈・八巻アンナ,,https://asobichannel.asobistore.jp/watch/0186taqtj,,マンスリーMC：丸岡和佳奈、ゲスト：近藤玲奈・八巻アンナ #杜野凛世のHBTK
390,2026/06/30(火) 23:00,色に例えると？,,放課後クライマックスガールズ,丸岡和佳奈,河野ひより・永井真里子・丸岡和佳奈,白石晴香・涼本あきほ,https://asobichannel.asobistore.jp/watch/fqzn4yx2u0,,マンスリーMC：丸岡和佳奈、ゲスト：河野ひより・永井真里子 #杜野凛世のHBTK
391,2026/07/07(火) 23:00,読み終わった後にずっと残り続けるコミュ,,,紫月杏朱彩,,,https://asobichannel.asobistore.jp/watch/lm3pylt7b4qy,,マンスリーMC：紫月杏朱彩 #七草にちかのHBTK
392,2026/07/14(火) 23:00,私の中の峯田と茉優が暴れた,,,紫月杏朱彩,峯田茉優・結名美月・涼本あきほ,,https://asobichannel.asobistore.jp/watch/ysyufzd9t,,マンスリーMC：紫月杏朱彩、ゲスト：峯田茉優・結名美月・涼本あきほ #七草にちかのHBTK
393,2026/07/21(火) 23:00,ほんとに何か持っていきな!?,,,紫月杏朱彩,永井真里子・黒木ほの香,,https://asobichannel.asobistore.jp/watch/l0v7szj7b,,マンスリーMC：紫月杏朱彩、ゲスト：永井真里子・黒木ほの香 #七草にちかのHBTK
394,2026/07/28(火) 23:00,5人で一斉に喋っちゃう,,,紫月杏朱彩,河野ひより・和久井優・土屋李央,,https://asobichannel.asobistore.jp/watch/qtd5x9i353yk,,
395,2026/08/01(土) 17:00,～YouTube放送スタート記念！ 映像付き生配信～,生配信,,黒木ほの香、前川涼子,川口莉奈、三川華月,,https://www.youtube.com/live/7ax36M80dGQ?si=nX6pjgLOgUGpFbWA,,
396,2026/08/11(火) 23:00,大喜利を振らないで！,,,黒木ほの香、前川涼子,幸村恵理、土屋李央,,https://youtu.be/AMB3iWMMfj4?si=4wT0FQEBW3J3CZSB,,
